,,,,,,,,,,,,,,,,
Theme: Population,,,,,,,,,,,,,,,,
Subject: Geographic Distribution,,,,,,,,,,,,,,,,
Topic: Census of Population and General Household Survey,,,,,,,,,,,,,,,,
Table Title: Resident Population by Planning Area/Subzone and Age Group (Census of Population 2010),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Data last updated: 24/03/2016,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Number,
Planning Area/Subzone,Total,Age Group (Years),,,,,,,,,,,,,,
,,0 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 & Over,
  Toa Payoh,124653,5165,5717,6445,7325,6855,8425,9214,10059,9649,10124,10402,8752,7983,18538,
  Woodlands,245109,14541,17582,21548,20007,16748,18016,19258,22202,23337,21762,17408,12055,8097,12548,
  Yishun,185214,8985,10149,11856,14249,14775,14516,14097,14525,14859,17292,15949,12566,8653,12743,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,
"Notes:Planning areas refer to areas demarcated in the Urban Redevelopment Authority's Master Plan 2008.Some planning areas/subzones are not listed due to small number of persons in the planning area/subzone.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,
Resident Population:,,,,,,,,,,,,,,,,
Resident population comprises two groups of people. They are Singapore Citizens and Permanent Residents. The latter group refers to non-Citizens who have been granted permanent residence here.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,
Date generated: 31/12/2023,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,
